Unix	jday	Pressure
820454400	1	100668.530018996
820458000	1	100609.722192459
820461600	1	100599.722192459
820465200	1	100599.722192459
820468800	1	100606.686700614
820472400	1	100595.494527151
820476000	1	100552.459035305
820479600	1	100512.459035305
820483200	1	100539.42354346
820486800	1	100605.194309269
820490400	1	100642.459035305
820494000	1	100666.386482732
820497600	1	100612.158817424
820501200	1	100583.350990887
820504800	1	100553.350990887
820508400	1	100546.386482732
820512000	1	100547.578656196
820515600	1	100562.157248541
820519200	1	100549.121756696
820522800	1	100552.157248541
820526400	1	100563.349422004
820530000	1	100563.349422004
820533600	1	100546.384913849
820537200	1	100526.384913849
820540800	2	100520.612579158
820544400	2	100479.420405694
820548000	2	100429.420405694
820551600	2	100393.649639886
820555200	2	100376.384913849
820558800	2	100376.384913849
820562400	2	100415.192740386
820566000	2	100409.421974577
820569600	2	100432.157248541
820573200	2	100448.229801114
820576800	2	100442.157248541
820580400	2	100436.386482732
820584000	2	100383.651208769
820587600	2	100335.194309269
820591200	2	100292.459035305
820594800	2	100282.459035305
820598400	2	100271.266861842
820602000	2	100268.531587879
820605600	2	100258.531587879
820609200	2	100244.604140452
820612800	2	100214.604140452
820616400	2	100147.639632297
820620000	2	100158.531587879
820623600	2	100159.723761342
820627200	3	100175.796313915
820630800	3	100128.83180576
820634400	3	100074.904358333
820638000	3	100003.71218487
820641600	3	99950.6766930248
820645200	3	99908.8333746433
820648800	3	99958.5315878786
820652400	3	99951.5686486066
820656000	3	99984.6041404517
820659600	3	100031.568648607
820663200	3	100017.64120118
820666800	3	100007.64120118
820670400	3	99994.6057093347
820674000	3	99964.6057093347
820677600	3	99927.6412011797
820681200	3	99887.6412011797
820684800	3	99881.8704353714
820688400	3	99891.8704353714
820692000	3	99880.6782619078
820695600	3	99901.8704353714
820699200	3	99941.8704353714
820702800	3	99951.8704353714
820706400	3	99931.8704353714
820710000	3	99915.7978827983
820713600	4	99952.7608220702
820717200	4	99950.025548107
820720800	4	99936.9900562619
820724400	4	99933.9545644169
820728000	4	99900.9190725718
820731600	4	99899.7268991082
820735200	4	99906.6898383802
820738800	4	99947.8835807268
820742400	4	99983.9561332999
820746000	4	100025.799451681
820749600	4	100043.064177718
820753200	4	100061.872004254
820756800	4	100133.064177718
820760400	4	100188.834943526
820764000	4	100218.834943526
820767600	4	100238.834943526
820771200	4	100248.834943526
820774800	4	100258.834943526
820778400	4	100228.834943526
820782000	4	100268.834943526
820785600	4	100304.605709335
820789200	4	100322.762390953
820792800	4	100312.762390953
820796400	4	100306.68983838
820800000	5	100329.725330225
820803600	5	100321.568648607
820807200	5	100291.568648607
820810800	5	100245.797882798
820814400	5	100221.568648607
820818000	5	100209.725330225
820821600	5	100185.496096034
820825200	5	100225.797882798
820828800	5	100245.797882798
820832400	5	100284.605709335
820836000	5	100311.568648607
820839600	5	100341.568648607
820843200	5	100358.533156762
820846800	5	100385.797882798
820850400	5	100394.605709335
820854000	5	100364.605709335
820857600	5	100384.605709335
820861200	5	100401.57021749
820864800	5	100398.834943526
820868400	5	100438.834943526
820872000	5	100481.57021749
820875600	5	100506.991625145
820879200	5	100518.834943526
820882800	5	100520.02711699
820886400	6	100511.219290454
820890000	6	100508.833374643
820893600	6	100508.833374643
820897200	6	100488.833374643
820900800	6	100483.062608835
820904400	6	100471.870435371
820908000	6	100486.099669563
820911600	6	100510.678261908
820915200	6	100530.678261908
820918800	6	100584.907496099
820922400	6	100594.907496099
820926000	6	100601.872004254
820929600	6	100613.064177718
820933200	6	100628.834943526
820936800	6	100658.834943526
820940400	6	100668.834943526
820944000	6	100651.57021749
820947600	6	100642.762390953
820951200	6	100592.762390953
820954800	6	100601.57021749
820958400	6	100638.834943526
820962000	6	100634.605709335
820965600	6	100620.02711699
820969200	6	100596.990056262
820972800	7	100542.76082207
820976400	7	100522.76082207
820980000	7	100515.796313915
820983600	7	100484.604140452
820987200	7	100434.604140452
820990800	7	100404.604140452
820994400	7	100345.797882798
820998000	7	100391.870435371
821001600	7	100420.678261908
821005200	7	100464.907496099
821008800	7	100478.834943526
821012400	7	100490.02711699
821016000	7	100483.062608835
821019600	7	100473.062608835
821023200	7	100447.64120118
821026800	7	100420.02711699
821030400	7	100394.605709335
821034000	7	100384.605709335
821037600	7	100341.57021749
821041200	7	100362.762390953
821044800	7	100372.762390953
821048400	7	100345.797882798
821052000	7	100325.797882798
821055600	7	100305.797882798
821059200	8	100369.725330225
821062800	8	100385.496096034
821066400	8	100373.952995534
821070000	8	100335.796313915
821073600	8	100281.568648607
821077200	8	100245.797882798
821080800	8	100270.02711699
821084400	8	100285.799451681
821088000	8	100319.726899108
821091600	8	100378.834943526
821095200	8	100381.57021749
821098800	8	100378.834943526
821102400	8	100323.064177718
821106000	8	100320.028685873
821109600	8	100329.136730291
821113200	8	100329.136730291
821116800	8	100335.799451681
821120400	8	100355.799451681
821124000	8	100331.872004254
821127600	8	100361.872004254
821131200	8	100364.907496099
821134800	8	100388.834943526
821138400	8	100393.062608835
821142000	8	100371.568648607
821145600	9	100366.688269497
821149200	9	100352.76082207
821152800	9	100351.870435371
821156400	9	100297.942987945
821160000	9	100230.678261908
821163600	9	100178.834943526
821167200	9	100134.605709335
821170800	9	100166.991625145
821174400	9	100215.799451681
821178000	9	100265.799451681
821181600	9	100285.799451681
821185200	9	100283.064177718
821188800	9	100204.907496099
821192400	9	100189.136730291
821196000	9	100117.944556828
821199600	9	100054.909064982
821203200	9	100046.101238446
821206800	9	100046.101238446
821210400	9	100061.872004254
821214000	9	100086.101238446
821217600	9	100080.028685873
821221200	9	100043.064177718
821224800	9	100003.064177718
821228400	9	99966.0996695631
821232000	10	99961.8704353714
821235600	10	99929.1351614081
821239200	10	99881.8704353714
821242800	10	99837.6412011797
821246400	10	99791.8704353714
821250000	10	99774.9074960994
821253600	10	99774.9074960994
821257200	10	99774.9074960994
821260800	10	99789.1367302911
821264400	10	99797.6427700628
821268000	10	99791.8720042544
821271600	10	99767.6427700627
821275200	10	99767.9445568275
821278800	10	99747.9445568275
821282400	10	99706.7523833639
821286000	10	99664.9090649825
821289600	10	99620.9816175556
821293200	10	99617.9461257105
821296800	10	99580.6813996738
821300400	10	99640.6813996738
821304000	10	99639.4892262102
821307600	10	99613.7184604019
821311200	10	99547.9476945935
821314800	10	99507.9476945935
821318400	11	99524.9106338655
821322000	11	99534.9106338655
821325600	11	99506.7539522469
821329200	11	99460.9831864386
821332800	11	99396.7539522469
821336400	11	99371.8735731374
821340000	11	99356.4030252109
821343600	11	99400.0896619737
821347200	11	99427.0526012457
821350800	11	99447.0541701287
821354400	11	99415.860427782
821358000	11	99422.824935937
821361600	11	99415.2108517472
821365200	11	99394.3188961654
821368800	11	99394.0186782836
821372400	11	99350.9831864386
821376000	11	99320.9831864386
821379600	11	99277.9461257105
821383200	11	99255.2108517472
821386800	11	99246.7555211299
821390400	11	99109.1367302911
821394000	11	99287.9461257105
821397600	11	99159.1398680572
821401200	11	99066.4045940939
821404800	12	98956.4045940939
821408400	12	98918.548130357
821412000	12	98890.3930176215
821415600	12	98754.6238206962
821419200	12	98627.6593125412
821422800	12	98568.5512681231
821426400	12	98505.514207395
821430000	12	98527.3575257764
821433600	12	98483.4316472326
821437200	12	98417.6593125412
821440800	12	98411.8869778499
821444400	12	98403.4285094665
821448000	12	98342.5365538847
821451600	12	98344.3798722661
821455200	12	98306.7657880764
821458800	12	98242.8383406495
821462400	12	98189.8028488044
821466000	12	98158.6106753408
821469600	12	98128.6091064578
821473200	12	98178.6091064578
821476800	12	98215.5736146127
821480400	12	98213.7302962313
821484000	12	98176.4655701946
821487600	12	98156.4655701946
821491200	13	98133.7302962313
821494800	13	98132.5381227677
821498400	13	98122.5381227677
821502000	13	98072.5381227677
821505600	13	98019.5026309227
821509200	13	97992.2379048859
821512800	13	97955.273396731
821516400	13	97965.5751834957
821520000	13	97966.4671390776
821523600	13	98006.4671390776
821527200	13	97996.4671390776
821530800	13	97999.5026309227
821534400	13	97978.6106753408
821538000	13	97922.5381227677
821541600	13	97958.6106753408
821545200	13	97969.5026309226
821548800	13	97993.4300783496
821552400	13	98011.5867599681
821556000	13	98051.5867599681
821559600	13	98067.3575257765
821563200	13	98107.3575257764
821566800	13	98137.0573078947
821570400	13	98154.3220339314
821574000	13	98169.4416548219
821577600	14	98181.2849732034
821581200	14	98154.3204650484
821584800	14	98172.477146667
821588400	14	98185.2124206303
821592000	14	98182.1769287852
821595600	14	98193.3691022488
821599200	14	98259.4400859389
821602800	14	98312.1753599022
821606400	14	98362.1753599022
821610000	14	98420.3320415208
821613600	14	98472.1753599022
821617200	14	98536.4045940939
821620800	14	98616.4045940939
821624400	14	98679.4400859389
821628000	14	98704.0186782836
821631600	14	98702.1753599022
821635200	14	98713.067315484
821638800	14	98763.0673154841
821642400	14	98814.2594889477
821646000	14	98918.8380812924
821649600	14	98968.8380812924
821653200	14	98970.030254756
821656800	14	98971.2224282196
821660400	14	98964.2579200647
821664000	15	99013.0657466011
821667600	15	99031.8735731374
